domain,company_name,eik,nkid,sector_label,region,size_band,source
activedental.bg,Active Dental Mladost,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
bonident-bg.com,Bonident,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
medstom.com,Dental Center Medstom-M,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
martintodorinov.com,Dental Clinic Dr Martin Todorinov,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
dentica-clinic.com,Dentica Dental Clinic,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
doktorkotev.com,Doctor Kotev,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
eo-dent.com,EO Dent - Дианабад,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
esident.net,Esident,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
marinovadental.com,Marinova Dental Clinic,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
medicaldent.bg,Medical Dent,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
nurident.com,NuriDent - Dental Implant Center,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
salievdentalcare.com,Saliev Dental Care,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
sofiadental.bg,Sofia Dental,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
topdentalbg.com,Top Dental,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
2bdent.bg,2bdent.bg,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
dentalart-bg.net,Art Dental - Dental Cabinet,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
avend.bg,Avend,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
balkandent.com,Balkandent - Dr. Eugene Balkandzhiev,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
belevi.bg,Belevi Dental Studio,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
bulgariadent.com,Bulgaria Dent,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
drlechev.com,Center for Complete Dentistry,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
churlinov.bg,Churlinov & Churlinov,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
colours.bg,Colours Dental Clinic,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
davinciclinic-bg.com,Da Vinci Clinic,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
davincilabor.com,DaVinciLabor,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
deckoff-dental.com,Deckoff Dental,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
denchevadental.com,Dencheva & Hristova Dental Clinic,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
dentaconsult.bg,Denta Consult,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
dentalbk.bg,Dental BK Clinic,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
stantipa.com,"Dental center ""Sv. Antipa""",,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
diamedbg.com,"Dental clinic ""Diamed Sofia""",,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
krasi-dent.com,"Dental Clinic ""Krasi-dent""",,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
mdcdental.net,Dental Clinic / VeaDent,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
3ddentalclinic.bg,Dental clinic 3D,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
dr-nikolov.bg,Dental Clinic Dr Nikolov,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
vvdent.com,Dental Clinic V V Dent,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
mladostdent.com,Dental Clinics Mladost,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
dentalcomfort.bg,Dental Comfort,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
stoykov.bg,Dentalna Klinika Stoykov,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
etikadent.com,Dentist Anastasia Chavdarova,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
vdent.info,"Dentist Sofia, Vi-Dent",,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
downtowndental.bg,Downtown Dental,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
mitreva.eu,Dr Mitreva - dentist,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
sintodental.bg,Dr. Ivelina Georgieva,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
mrdent.bg,Dr. Martin Rubiev,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
dental.kwb1.com,Dr. Petrova,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
